qd13_9,qc1_5_2,qc1_3_7,qd13_4,qe10_1,qc1_3_5,qi1_6,qj1,qe10a,Region,qd12_8_other,qj3_1,qb6,SEG,qc4_5,qe5_5,qc1_1_2,qe5_4,QD1_2,qc1_1_1,qh1_2,qj4_4,qe11_10,qg5,qi2a_8,qe10_10,qd12_8,qc1_3_1,qd12_7,qi1_3,qe5_10,qg6
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),No,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,,3,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,No,No,No,0.0,Yes,No,No,,Fairly satisfied,Yes,No,,Yes Yes Yes Yes Yes Yes Yes Yes Yes,,Yes,No,Fairly satisfied
,,,,Yes Yes Yes Yes Yes Yes Yes,,Yes,Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week),Yes,South East,X,5,South East,Skilled manual worker,,Yes,,Yes,0.0,,No,No,Slightly more,Fairly satisfied,No,No,Dont know,,Slightly more,No,No,Fairly satisfied
No,No,No,[],Yes,No,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,South East,,2,South East,Skilled manual worker,Irrelevant,No No No No,No,No,1.0,Yes,Yes,[],,Fairly satisfied,No,No,,Yes,,No,No,Fairly satisfied
Yes,No,No,No,,No,Yes,Not working (less than 8hrs per week) retired,No,Wales,,2,Wales,Unemployed,Fairly important,No,No No No No No No No No No,No,0.0,No,No,No,,Fairly satisfied,No,,,No,,No,No,Fairly satisfied
,,,,,,Yes,Not working (less than 8hrs per week) retired,No,South West,X,3,South West,Skilled manual worker,,No,,No,0.0,,No,No,No change,Fairly satisfied,No,,Dont know,,No change,No,No,Fairly satisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),Yes,Wales Wales Wales Wales Wales Wales Wales Wales,,1,,Skilled manual worker,Irrelevant,No,No,No,0.0,No,No,No,,Very satisfied,No No No No No No No,No,,Yes,,[],No,Very satisfied
No,No,No,No,No No No No No,No,Yes,Working part time (8-29hrs per week),Yes,East Midlands,X,2,East Midlands,Skilled manual worker,Fairly important,No,No,No,0.0,No,No,No,Slightly more,Fairly satisfied,No,No,Dont know,No,Slightly more,No,No,Fairly satisfied
No,No,No,Yes,No,No No No,Yes,Not working (less than 8hrs per week) retired,No,Wales,,1,Wales,"High managerial, administrative or professional",Essential,No No,No,No,1.0,Yes,No,No,,Very satisfied,No,No,,Yes,,No,No,Very satisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) housewife/ househusband,,Yorkshire/Humberside,,2,Yorkshire/Humberside,Skilled manual worker,Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important,No,No,No,0.0,Yes,No,No No No,Slightly more,Fairly satisfied,No,No,,Yes Yes Yes Yes,No change,No,No,Fairly satisfied
No,No,No,Yes,Yes,No,Yes,Working full time (30hrs+ per week),,Rest of Scotland,X,2,,"Supervisor; clerical; junior managerial, administrative or professional",Essential,No,No,No,0.0,No,No,No,No change,Very satisfied,No,No,Much less Much less Much less Much less Much less Much less Much less Much less,No,No change,No,No,Very satisfied
No,No,No,No,Yes,No,Yes,Working full time (30hrs+ per week),Yes,West Midlands,x,2,West Midlands,"Intermediate managerial, administrative or professional",Essential,,Yes,,0.0,Yes,No,No,No change,Very satisfied,,No,No change,Yes,No change No change No change No change No change No change No change No change,No,,Fairly satisfied
,,,,No,,Yes,Working part time (8-29hrs per week) Working part time (8-29hrs per week) Working part time (8-29hrs per week) Working part time (8-29hrs per week) Working part time (8-29hrs per week) Working part time (8-29hrs per week),No No No No No No No,North East,x,1,North East North East North East North East North East North East North East,Skilled manual worker,,No,,No,0.0,,No,No,No change,Very satisfied,No,No,Dont know,,No change,No,No No No No No No No No No,Very satisfied
,,,,,,Yes,Working full time (30hrs+ per week),No,South East,X,1,,"Intermediate managerial, administrative or professional Intermediate managerial, administrative or professional Intermediate managerial, administrative or professional Intermediate managerial, administrative or professional",,,,,0.0,,No,No,No change,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,,Dont know,,No change,No,,Fairly satisfied
No,No,No,Yes,No No No No No No,No,Yes,Working full time (30hrs+ per week),No,East Midlands East Midlands East Midlands East Midlands,,1,East Midlands,"Supervisor; clerical; junior managerial, administrative or professional",Essential Essential Essential Essential Essential Essential,No,No,No No No No No No No No,0.0,Yes,I dont know,No,,Fairly satisfied,No,No,,Yes,,No,No No No No No No No,Fairly satisfied
No,No,No,No,No,No,Yes Yes Yes Yes,Not working (less than 8hrs per week) retired,,London/Greater London,,2,London/Greater London,"Intermediate managerial, administrative or professional",Essential,No,No,No,0.0,Yes,No No No No No,No,No change,Fairly satisfied,No,No,,Yes,No change,No,No,Neither satisfied or dissatisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),No,Northern Ireland,x,2,Northern Ireland,Semi-skilled or unskilled manual worker,Fairly important,No No No,Yes,Yes,1.0,Yes,No,No,Slightly less,Fairly satisfied,No,No,No change,Yes,Slightly more,Yes Yes Yes Yes Yes Yes Yes Yes Yes,No,Very satisfied
No,No,No,Yes,,No,No,Working full time (30hrs+ per week),No,Northern Ireland,x,2,,Skilled manual worker,Fairly important,,No,,0.0,Yes,No,No,Much less,Very satisfied,,,Much less,Yes,Much less,No,,Very satisfied
No,No,No,Yes,No,No,No,Working part time (8-29hrs per week),,South East,x,2,South East South East South East South East South East,Unemployed,Essential,,No,,0.0,Yes,No,No No No,Slightly less,Very satisfied,,No,No change,Yes,No change,No,,Very satisfied
No,Yes,No,No,No,No,No,Not working (less than 8hrs per week) retired,,North East,X,2,North East,"Intermediate managerial, administrative or professional",Fairly important,No,Yes,No,2.0,Yes,No,No,No change,Very satisfied,Yes,No,Dont know,Yes Yes Yes Yes Yes Yes,No change,No No,No,Very satisfied
No,Yes,No,Yes,Yes,No,No,Working full time (30hrs+ per week),No,North East,x,2,,Semi-skilled or unskilled manual worker,Essential,,Yes,,0.0,No,No,No,No change,Fairly satisfied,No,No,Dont know,No,Much less Much less Much less,No,,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) retired,No,Yorkshire/Humberside,x,2,Yorkshire/Humberside,Skilled manual worker,,No,,No,0.0,,No,No,No change,Fairly satisfied,No,No No No No No No No No,[],,No change,No,No No No No No No No,Fairly satisfied
Yes,No,No,No,No No No No No No No,No,No,Not working (less than 8hrs per week) retired,No,Wales,,1,,Skilled manual worker,Irrelevant,,No,,0.0,Yes,No,No No No No No,,Fairly satisfied,,No,,Yes,,No,,Fairly satisfied
No,No,No,Yes Yes Yes Yes Yes Yes Yes Yes Yes,,No,Yes,Not working (less than 8hrs per week) retired,,North West,x,2,North West,"Intermediate managerial, administrative or professional",Fairly important,,No,,8.0,No,No,No,No change,Fairly satisfied,No,,Slightly less Slightly less Slightly less Slightly less Slightly less Slightly less,No,Much less,No,,Fairly satisfied
No,No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) retired,No,South East,,2,South East,Skilled manual worker,Not very important,No,No,No,2.0,Yes,Yes,No,,Fairly satisfied,No,No,,Yes,,No,Yes,Fairly satisfied
Yes,No,No,No,No,No,No,Working full time (30hrs+ per week),No,East Midlands,,3,East Midlands,Semi-skilled or unskilled manual worker,Essential,,No,,0.0,No,No,No,,Very satisfied,No,No,,No,,No,,Very satisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),Yes,West Midlands,,2,West Midlands,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,Yes,,0.0,No,No,No,,Fairly satisfied,No,No No No No No No,,Yes,,Yes,,Fairly satisfied
No,No,No,Yes,No,No,Yes,Not working (less than 8hrs per week) housewife/ househusband,No,Rest of Scotland,,3,Rest of Scotland,Skilled manual worker,Irrelevant,No,No,No No No,0.0,Yes Yes Yes Yes Yes Yes Yes Yes Yes,No,No,,Very satisfied,No,No No No No No No,,Yes,,Yes,No,Very satisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) retired,,Northern Ireland,x,2,Northern Ireland,"High managerial, administrative or professional",Essential,No,No,No,0.0,No,No,No,No change,Fairly satisfied,No,No,No change,No,No change,No,No,Fairly satisfied
,,,,,,Yes,Working full time (30hrs+ per week),No,Northern Ireland,X,1,,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,Slightly more,Very satisfied,No,,Dont know,,No change No change No change No change No change No change No change No change No change,Yes,No,Very satisfied
No,Yes,No,No,No,No,Yes,Working full time (30hrs+ per week),,West Midlands,x,2,West Midlands,"High managerial, administrative or professional",Essential,No,Yes,No,0.0,Yes,Yes,No,Much more Much more Much more Much more,Fairly satisfied,Yes,No,Much less,Yes,Slightly more,No,No,Very satisfied
No,Yes,No,Yes,Yes,No,No,Not working (less than 8hrs per week) unemployed/ looking for work,,North East,x,1,,Unemployed,Irrelevant,,No,,3.0,[],No,No,No change,Fairly satisfied,,No,No change,No,No change,No,,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied
,,,,Yes,,Yes,Working full time (30hrs+ per week),Yes,West Midlands,X,2,West Midlands,Skilled manual worker,,No No No No No No No No No,,No,0.0,,No,No,No change,Very satisfied,No,No,No change,,No change,No,No,Very satisfied
,,,,Yes Yes Yes Yes Yes Yes Yes,,No,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,West Midlands,X,1,,Unemployed,,,,,0.0,,No,No,Much less,Very satisfied,No,No,Dont know,,No change,No,,Very satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) housewife/ househusband,Yes,Rest of Scotland,X,3,Rest of Scotland,"Intermediate managerial, administrative or professional",,,,,0.0,,No,No,No change,Fairly satisfied,No,No,Dont know,,No change,Yes,,Fairly satisfied
,,,,No,,Yes,[],Yes,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,x,2,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,No change,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,No,Slightly less,,Slightly less,No,No,Fairly satisfied
No No No No No,Yes,No,No,,No,No,Working full time (30hrs+ per week),Yes,South East,,3,South East,Skilled manual worker,Essential,,Yes,,1.0,Yes,No,No,,Very satisfied,,,,Yes,,Yes,,Fairly satisfied
No,No,No,No,No,No,No,Working full time (30hrs+ per week),No,Rest of Scotland,x,1,,Skilled manual worker,Fairly important,No,No,No,0.0,Yes,No,No,No change,Very satisfied,No,No,Much less,Yes,Slightly less,No,No,Very satisfied
Yes,No,No,No,No,No No No No No,No,[],No,North West,,4,,"Supervisor; clerical; junior managerial, administrative or professional",Essential,No,Yes,No,0.0,No,No,No,,Very satisfied,,No No,,No,,No,No,Very satisfied
No,No,No,No,No,No,No,Working full time (30hrs+ per week) Working full time (30hrs+ per week),No,London/Greater London,X,2,London/Greater London,"Intermediate managerial, administrative or professional",Fairly important,No,No,No,0.0,Yes,No,No,No change No change No change,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,,No,No change,Yes,No change,No,No,Fairly satisfied
No,Yes,No,Yes,No,No,Yes Yes Yes Yes Yes Yes Yes Yes Yes,Working full time (30hrs+ per week),Yes,North West,,2,North West,"Supervisor; clerical; junior managerial, administrative or professional",Not very important,No,Yes,No,0.0,Yes,No,No,,Fairly satisfied,No,No,,Yes,,Yes,No,Fairly satisfied
Yes,No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) retired,Yes,Wales Wales,x x x x x,1,,Semi-skilled or unskilled manual worker,Not very important,No,No,No,0.0,Yes,No,No,No change,Very satisfied,No,No,No change,Yes,No change,[],No,Very satisfied
,,,,[],,Yes,Not working (less than 8hrs per week) housewife/ househusband,Yes,North East,X,2,North East,"Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No No,No,No change,[],No,No,Dont know,,No change,No,No,Fairly dissatisfied
No,No,No,Yes,No,No,Yes,Not working (less than 8hrs per week) \x96 unable to work due to disability/other Not working (less than 8hrs per week) \x96 unable to work due to disability/other,Yes,Northern Ireland,,2,Northern Ireland,"Supervisor; clerical; junior managerial, administrative or professional",Essential,No,No,No,0.0,Yes,No,No,,Fairly satisfied,No,No,,Yes,,No,No,Fairly satisfied
No No No No No,No No No No No,No,No,No,No,No,Not working (less than 8hrs per week) housewife/ househusband,No,East Midlands,X,4,,Housewife / househusband,Essential,,No,,0.0,No,No,No,Slightly less,Fairly satisfied,,No,No change,Yes,No change,No,,Fairly satisfied
No,No,No,No,Yes,No,Yes Yes Yes,Working full time (30hrs+ per week),,Northern Ireland,x,2,,"Supervisor; clerical; junior managerial, administrative or professional",Not very important,,No,,0.0,No,No,No,No change No change No change No change No change No change No change No change,Very satisfied,No,No,Dont know,No,Slightly less,No,,Very satisfied
,,,,No No No No No No No No No,,No,I dont know,Yes,West Midlands,No,2,West Midlands,"High managerial, administrative or professional",,No No No No No No No,,Yes,5.0,,No,Yes,No change,Fairly dissatisfied,,No,No change,,No change,No,No,"""I dont know"" ""I dont know"" ""I dont know"" ""I dont know"" ""I dont know"" ""I dont know"" ""I dont know"" ""I dont know"""
Yes,No,No,No,No,No,No,Working full time (30hrs+ per week),No,North East,,1,North East,"High managerial, administrative or professional",Irrelevant,,No,,2.0,Yes,Yes,No,,Fairly satisfied,,No,,Yes,,No,,Fairly satisfied
Yes,No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,,South East,,2,South East,Skilled manual worker,Not very important,No,No,No No No No No No No No,0.0,No,Yes,No,No change,Fairly dissatisfied,No,No,,No,No change,No,No,Fairly satisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) retired,,South East,x,1,South East,Skilled manual worker,Essential,No,No,No,0.0,No,No,No,Slightly less Slightly less Slightly less Slightly less Slightly less Slightly less Slightly less Slightly less Slightly less,Fairly satisfied,No,No,Dont know,No,Much less,No,No,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,Yes,West Midlands,X,4,West Midlands,Semi-skilled or unskilled manual worker,,,,,4.0,,No,No No No No No No No No No,No change,Very satisfied,No,No,Dont know,,Much more,Yes,,Very satisfied
No,No No No No No No No,No,Yes,No,No No No,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,No,Wales,x,2,Wales,Housewife / househusband,[],No,No,No,0.0,Yes,No,No,Slightly more Slightly more Slightly more,Fairly satisfied,No,No,No change,Yes,No change,Yes,No,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,East Midlands,X,2,East Midlands,Housewife / househusband,,No,,No,0.0,,No,No,No change,Fairly satisfied,No No,No,Dont know,,No change,Yes Yes Yes Yes Yes Yes Yes Yes Yes,No No No No No No No,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,No No No No,West Midlands,X,2,,Unemployed,,,,,0.0,,No,No,No change,Fairly satisfied,No,No,Dont know,,No change No change No change,No,,Fairly satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,South East,x,1,South East,Unemployed,,No,,No,0.0,,Yes Yes Yes Yes Yes,No,Slightly more,Very satisfied,No,No,Dont know,,Slightly more,No,No,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied
No,No,No,Yes,Yes Yes Yes Yes Yes Yes,No,Yes,Not working (less than 8hrs per week) student,Yes,East Midlands,,3,East Midlands,Skilled manual worker,Fairly important,No,No,No,0.0,No,No,No,,Very satisfied,,No,,Yes,,No,No No No No,Very satisfied
No,No,No No No No No No No No,Yes,Yes,No,Yes,Working full time (30hrs+ per week),No,South East,,2,South East,Skilled manual worker,Essential,No,No,No,0.0,No,No,No No No No No No,,Very satisfied,No,No,,No,,No,No,Very satisfied
No,No,No,Yes,No,No,Yes,Working full time (30hrs+ per week),Yes,Wales,,2,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,,No No No No,,0.0,No,Yes,No,No change,Neither satisfied or dissatisfied,No,No,,No,No change,Yes,,Neither satisfied or dissatisfied
,,,,No,,No,Working full time (30hrs+ per week),No,Northern Ireland,X,1,Northern Ireland,"Supervisor; clerical; junior managerial, administrative or professional",,,,,0.0,,No,No,No change,Fairly dissatisfied,No,No,Dont know,,No change,No,,Fairly satisfied
No,No,No,Yes,Yes,No,Yes,Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week),,Northern Ireland,x,1,,"Intermediate managerial, administrative or professional Intermediate managerial, administrative or professional Intermediate managerial, administrative or professional",Essential,,No,,0.0,No No,No,No,Much less,Very satisfied,No,No,Slightly less,Yes,Much less,Yes,,Very satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,Yes,Rest of Scotland,x,2,Rest of Scotland,Unemployed,,No,,No No No No No,0.0,,No,No,Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more,Neither satisfied or dissatisfied,No,No,No change,,Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more Slightly more,No,No,Neither satisfied or dissatisfied
,,,,No No No No No No,,Yes,Working full time (30hrs+ per week),Yes,South West,X,2,,"Intermediate managerial, administrative or professional",,No,,Yes,40.0,,No,No,No change,Very satisfied,No,No,Dont know,,No change,Yes,No,Very satisfied
No,No No No No No No No No No,No,Yes,Yes,No,No,Not working (less than 8hrs per week) housewife/ househusband,,North East,,1,North East,Housewife / househusband,Essential,,Yes,,0.0,Yes,No No No No No No No No,No,Slightly less,Fairly satisfied,No,No,,Yes,Much less,Yes,,Fairly satisfied
No,Yes,No,Yes,Yes Yes,Yes,Yes,Working full time (30hrs+ per week),Yes Yes Yes Yes Yes Yes Yes,North East,,2,North East,Semi-skilled or unskilled manual worker,Fairly important,,Yes,,0.0,No,Yes,No,,Neither satisfied or dissatisfied,No No No No,No,,Yes,,Yes,,Neither satisfied or dissatisfied
,,,,No,,Yes,Not working (less than 8hrs per week) housewife/ househusband,No,North East North East North East North East North East,X,2,North East,Skilled manual worker,,No,,No,0.0,,No,No,No change,Neither satisfied or dissatisfied,,No,Dont know,,No change,No,No,Fairly dissatisfied
,,,,,,No,Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student Not working (less than 8hrs per week) \x96 student,No,East Midlands,X,2,East Midlands,Skilled manual worker,,,,,0.0,,No,No,Dont know,Very satisfied,Yes Yes Yes Yes Yes Yes Yes Yes,,"""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know""",,No change,No,,Very satisfied Very satisfied
No,No,No,Yes,Yes,No,No,Not working (less than 8hrs per week) retired,No,South East,X,2,South East,Skilled manual worker,Essential,,No,,5.0,No,No,Yes,Much less,Fairly satisfied,No,No,Much less,No,Much less,No,,Neither satisfied or dissatisfied
No,No,No,No,Yes,No,Yes,Working full time (30hrs+ per week),,North West,x,2,North West,Skilled manual worker,Not very important,,No,,0.0,Yes,No,No,No change,Neither satisfied or dissatisfied,,No,Much less,Yes,Much less,No,,Neither satisfied or dissatisfied
,,,,Yes,,No No No No No No No No,Not working (less than 8hrs per week) student,Yes Yes Yes,North West,X,2,,"Supervisor; clerical; junior managerial, administrative or professional",,No,,Yes,0.0,,No,No,No change,Fairly satisfied,,No,No change,,No change,Yes,Yes,Fairly satisfied
No,No,No No No No,No,No,No,Yes,Not working (less than 8hrs per week) housewife/ househusband,No,Rest of Scotland,,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Not very important,No No No No No,Yes,No,1.0,No,No,No,,Very satisfied,No,No,,Yes,,No,No No No No No No No,Very satisfied
,,,,No,,[],Not working (less than 8hrs per week) student,Yes,East Midlands,X,4,,Student,,No,,No,0.0,,No,No,No change,Fairly satisfied,,No,Dont know,,No change,No,No,Fairly satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) retired,No,North West,x,1,North West,"Supervisor; clerical; junior managerial, administrative or professional",,,,,0.0,,No,No,No change,Fairly satisfied,No,No,No change,,No change,Yes,,[]
No No No No No,Yes,No,No No,,No,No No No No No No,Not working (less than 8hrs per week) retired,No,London/Greater London London/Greater London London/Greater London London/Greater London,,1,,"Intermediate managerial, administrative or professional",Irrelevant,,Yes,,2.0,No,No,No,,Neither satisfied or dissatisfied,No,,,No,,No,,Neither satisfied or dissatisfied
,,,,,,No,I dont know,No,East Anglia/East of England,no change,1,East Anglia/East of England,Housewife / househusband,,No,,No,1.0,,No,No,No change No change No change No change,Neither satisfied or dissatisfied,,,No change,,No change,No,No,Neither satisfied or dissatisfied
,,,,No,,No,Not working (less than 8hrs per week) housewife/ househusband,No,South East,X,1,,Unemployed,,No,,No,0.0,,No,No,Slightly more,Fairly satisfied,No,No,Dont know,,No change,No,No,Fairly satisfied
No,No,No,Yes,No,No,Yes Yes Yes Yes Yes Yes Yes Yes,Working full time (30hrs+ per week),Yes,South East,x,3,South East,Semi-skilled or unskilled manual worker,Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important,,No,,0.0,No,No,No,Much less,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,No,Dont know,No,No change,No,,Fairly satisfied
,,,,No No No No No No,,Yes,Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband,Yes Yes,West Midlands,X,2,,"Intermediate managerial, administrative or professional",,,,,0.0,,No,No,No change,Very satisfied,No,No,Dont know,,No change,No,,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) retired,Yes,West Midlands,X,2,[],"Supervisor; clerical; junior managerial, administrative or professional",,No No No No No No No No,,No,0.0,,No,No,Slightly more,Fairly satisfied,No,No,Dont know,,No change,Yes,No,Fairly satisfied
No,No,No,Yes,No,No,Yes,Not working (less than 8hrs per week) retired,No,North East,,1,North East,"Intermediate managerial, administrative or professional",Fairly important,,No,,5.0,Yes,No,No,,Very satisfied,No No No No No No No No No,No,,Yes,,Yes,,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) housewife/ househusband,No,North East,x,2,North East,"Supervisor; clerical; junior managerial, administrative or professional",,,,,0.0,,No,No,[],Fairly satisfied,No,No,Dont know,,Much less,No,,Neither satisfied or dissatisfied
,,,,No,,Yes,Working full time (30hrs+ per week),Yes,Wales,X X X,3,Wales,"Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,Slightly more,Fairly dissatisfied Fairly dissatisfied Fairly dissatisfied Fairly dissatisfied Fairly dissatisfied Fairly dissatisfied,Yes,No,Dont know,,Slightly more,No,No,Fairly dissatisfied
No,No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) retired,,Highlands & Isles of Scotland,,2,Highlands & Isles of Scotland,Skilled manual worker,Essential,No,Yes,No,2.0,Yes Yes Yes,No,No,Slightly less,Very satisfied,No,No,,Yes,Slightly more,No,No,Very satisfied
No,No,No No No No,No,No,No,Yes,Not working (less than 8hrs per week) housewife/ househusband,Yes,South East,,2,South East,Unemployed,Fairly important,No,Yes,No,0.0,Yes,No,No,,Fairly satisfied,No,No,,Yes,,Yes,No,Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) student,Yes,London/Greater London,x,5,London/Greater London,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,No change,Fairly satisfied,,No,Dont know,,No change,No No No No No,No,Fairly satisfied
No,No,No No No No No No No,No,Yes,No,Yes,Working full time (30hrs+ per week),,[],,2,,"Intermediate managerial, administrative or professional",Essential,No,No,No,0.0,No,No,No,No change,Very satisfied,No,No,,No,No change,Yes Yes Yes Yes,No No No No No No,Very satisfied
,,,,No,,Yes Yes Yes Yes Yes Yes Yes,Working full time (30hrs+ per week),Yes,North West North West North West,X,3,,"Intermediate managerial, administrative or professional",,No,,No,2.0,,No,No,No change,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied,No,No,No change,,Slightly less,No,No No No No,Very satisfied
,,,,No,,No,Working full time (30hrs+ per week),Yes,Wales,,4,Wales,"Intermediate managerial, administrative or professional",,,,,2.0,,Yes Yes Yes Yes Yes Yes Yes,No,Slightly more,Fairly satisfied,No,No,No change,,Slightly less,No,,Fairly satisfied
No,No,No,Yes,No,No,Yes,Working full time (30hrs+ per week),,Wales,x,1,,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,Yes,No,Yes,0.0,Yes,[],No No No No,No change,Fairly satisfied,No,No,No change,Yes,No change,No,No,Fairly satisfied
No,No,No,Yes Yes Yes Yes Yes,No,No,No,Not working (less than 8hrs per week) unable to work due to disability/other,No,Northern Ireland,,2,Northern Ireland,Semi-skilled or unskilled manual worker,Fairly important,,No,,0.0,No,No,No,,Fairly satisfied,,No,,Yes,,No,,Very satisfied
No,No,No,Yes,,No,Yes,Working part time (8-29hrs per week),Yes,East Anglia/East of England,,2,East Anglia/East of England,Semi-skilled or unskilled manual worker,Fairly important,,No,,0.0,Yes,No,No,,Very satisfied,No,,,Yes,,No,,Very satisfied
,,,,No,,Yes,Working full time (30hrs+ per week),Yes,Northern Ireland,X,2,Northern Ireland,"High managerial, administrative or professional",,No,,No,39.0,,No,Yes,Slightly less,Fairly satisfied,,No,Dont know,,No change,No,No,Fairly satisfied
No,No,No,No,Yes,No,Yes,Working full time (30hrs+ per week),Yes,Rest of Scotland,,2,Rest of Scotland,Skilled manual worker,Fairly important,No,No,No,3.0,No,No,No,,Fairly satisfied,No No No No No No No No No,No,,No,,No,No,Fairly satisfied
No,No No No No No No No No No,No,Yes,Yes,No,No,Not working (less than 8hrs per week) unable to work due to disability/other,,North East,X,1,North East,Unemployed,Essential,,No,,0.0,Yes,Yes,No,No change,Fairly satisfied,Yes,No,No change,Yes,No change,Yes,,Very satisfied
