received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
05/11/20,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,11,Service revision due to emergency situation. 26th Dec and 2nd Jan timetables removed.
12/09/17,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,1,Monday to Friday summer only varied frequency
29/05/09,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,12,Daily.
30/05/19,East Lothian Council,EAST COAST BUSES LIMITED,No,Standard National,0,Service will operate 11th July 2019 to 14th July 2019 only
17/05/23,Strathclyde Partnership for Transport,CRAIG OF CAMPBELTOWN LTD,No,Standard International,0,Monday to Saturday
03/08/20,East Lothian Council,PRENTICE COACHES LTD,Yes,Standard International,2,"Monday to Saturday
Covid 19 - service reinstated and extended to Edinburgh Royal Infirmary"
14/04/23,The City of Edinburgh Council,LOTHIAN COUNTRY BUSES LIMITED,No,Standard National,0,Daily
25/06/20,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,10,"Service varied (reduced timetable) due to COVID 19

(Service prior was:Revised route and timetable: some journeys divered via West Grange Road, Monifieth)"
20/04/10,Highland Council,D & E COACHES LTD,No,Standard National,4,"Monday to Saturday

No service on 25/26 Dec or 1/2 Jan"
25/11/16,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,0,Trips moved from PM8 440.
05/12/14,Angus Council,WISHARTS (FRIOCKHEIM) LTD,Yes,Standard National,1,Daily
26/06/06,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,8,"Monday to Saturday.
No service:25/26 December & 1/2 January.
"
02/05/14,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,0,"Daily 0845 - 1800

No service 25 Dec or 1 Jan

"
16/02/12,Aberdeen City Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,37,Monday to Sunday Hourly
06/08/12,Angus Council,STEPHEN MACKIE,Yes,Standard National,0,school days only
20/08/07,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,"Daily at varied frequency. 
No service 25 Dec & 1 Jan, saturday service on working days in between.
Saturday service will operate on Good Friday, Glasgow Holidays.
Sunday service will operate on Easter Monday, Mayday, 26 Dec & 2 Jan."
15/09/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,8,Mon - Sat infrequent timetable.
31/05/19,Midlothian Council,LOTHIAN BUSES LIMITED,No,Standard International,4,Mon to Fri
16/07/14,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,21,Revised schoolday timetable: 0723 from Perth extended to Newburgh; additional journeys from Perth at 1557 and from Abernethy at 1618
10/10/22,Strathclyde Partnership for Transport,STUARTS COACHES LTD,No,Standard International,12,Monday to Saturday
19/06/06,West Lothian Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,"Monday to Sunday

No service 25th 26th Dec or 1st 2nd Jan"
20/07/22,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,21,Easter Monday and May Day holidays service levels increased
09/10/08,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,0,only runs on the 31st of December and the 1st of January.
29/10/04,The City of Edinburgh Council,MIDLAND BLUEBIRD LTD,No,Standard National,3,"Monday to Saturday.  This service will not operate 25, 26 December, 1, 2 January"
16/05/03,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,Daily.
11/03/09,Western Isles Council,PETER MACLENNAN,Yes,Standard National,1,
30/10/08,Strathclyde Partnership for Transport,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,17,"Daily
This service will not operate 25 Dec 1 Jan Curtailed services will operate 26th of Decmber and 2,3,4 Jan,Good Friday, Easter Monday, May Day or any other Public Holiday"
04/07/19,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,1,Monday to Satuday
30/03/06,Aberdeenshire Council,MURRAY W BROWN & PARTNERS,Yes,Standard International,0,School Days only
27/12/02,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,2,"This service will not operate 25,26 December 1 January with Sunday service 2 January or on similar dates in subsequent years"
20/06/05,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,9,"No service on 25/12, 26/12, 01/01 & 02/01."
11/08/06,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,9,"Daily
No service 25 Dec & 1 Jan.
T/T change rest of holiday period. ASDSY.
Sunday t/t Mondays at Easter, first & last in May, Glasgow Fair & Autumn holiday"
04/11/05,Perth & Kinross Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,10,"Daily.  This service will not operate 25, Dec, 1,Jan
  
Saturday Service
23, 27, 30 Dec and 3 Jan

Saturday service with the following exeptions
24 Dec & 31 Jan 
2255 Ex Leonard St withdrawn
2357 Ex Comrie withdrawn
Sunday Service
26 Dec & 2 Jan"
19/06/03,Aberdeenshire Council,MARGARET LOWE  & STEVEN J LOWE,No,Standard National,1,
27/03/23,North Lanarkshire Council,WESTERN BUSES LIMITED,No,Standard International,30,8th May 2023 BH added
29/07/13,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,0,Daily
,,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,
29/10/09,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,1,"Monday to Friday - Approx every 30 mins
Sat - Approx every 30 minutes"
14/12/07,Dumfries & Galloway Council,TELFORD'S COACHES LTD,No,Standard International,1,
15/04/13,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,1,"Times adjusted to aid through journeys to Ayr, Muirkirk and Kilmarnock at Tanyard Bus Stances, Cumnock."
20/07/22,North Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,23,Service variation due to emergency situation
24/02/09,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,15,"No service - 1/2 January, 25/26 December."
03/01/13,Falkirk District Council,JAMES ADAMSON,Yes,Standard National,0,Schooldays only
06/08/15,Angus Council,J P MINICOACHES LTD,Yes,Standard National,0,School days only
22/02/08,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,1,
04/07/14,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,3,
05/04/12,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,School Holidays
16/08/10,Strathclyde Partnership for Transport,MARBILL COACH SERVICES LTD,No,Standard International,7,
22/12/04,Highland Council,EASTER ROSS COACH COMPANY LLP,No,Standard National,0,
28/06/02,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,1,
13/04/21,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,15,Service variations due to emergency situation. Service level increase.
29/06/04,Fife Council,MOFFAT & WILLIAMSON LTD,Yes,Standard International,1,
24/04/23,Aberdeen City Council,FIRST ABERDEEN LTD,Yes,Standard National,50,
10/08/16,Strathclyde Partnership for Transport,COLCHRI LTD,Yes,Standard National,13,"Monday to Saturday

"
14/04/09,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,13,
01/02/16,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,12,To alter Marchburn timing point on Indale Avenue from stop 6190889 to 6190890 due to request from local resisdent.
20/09/10,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,2,Daily
07/08/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,3,Monday - Sunday hourly daytime service
19/03/03,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,3,Daily.  Mainly hourly frequency
21/02/19,Northumberland County Council,TELFORD'S COACHES LTD,Yes,Standard International,3,Vary route and timetable
03/12/02,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,1,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec, 2 Jan and all public/local holidays, and on similar dates in subsequent years."
28/04/20,Dumfries & Galloway Council,HARRIET JANET HOUSTON & WILLIAM JOHN HOUSTON,Yes,Standard National,3,"Service varied due to Covid 19

(Service prior was: Daily)"
24/03/09,Western Isles Council,GRENITOTE TRAVEL LTD,Yes,Standard National,5,
25/03/20,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,7,"Service temporarily suspended due to Covid 19

(Service prior was Daily)"
07/12/12,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,5,"Mon-Fri, Sat & Sun"
17/04/09,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,3,Daily service every 20mins
04/04/22,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,34,"MON TO SUNDAY, REGULAR SERVICE"
16/06/09,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,0,Monday to Saturday
27/09/17,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,4,Infrequent service Monday to Sunday.
12/06/09,North Lanarkshire Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,23,"Daily service, two buses per hour"
19/03/20,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,4,"Monday to Saturday
TEMPORAY VARIATION - COVID 19"
27/03/23,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,10,Easter Monday and May Day holidays service levels increased
13/05/04,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,7,
31/03/14,Aberdeenshire Council,KINEIL COACHES LTD,Yes,Standard International,4,"Monday to Saturday
does not operate on 25/26 December, 1/2 Jaunary. or May Holiday"
13/11/17,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,8,
16/03/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,Daily
29/07/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,3,Hourly service Monday to Saturday and 2 hourly Sunday.
27/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,2,Service suspended due to Covid 19
02/03/16,Strathclyde Partnership for Transport,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,0,Monday to Saturday
22/05/17,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,Monday to Saturday
26/07/10,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,Monday to Saturday
02/09/03,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,5,"No service: 25 Dec & 1 Jan.
Saturday service: Local public Holidays if not a schoolday."
12/10/21,Strathclyde Partnership for Transport,WILSONS OF RHU LTD,No,Standard National,6,"Monday to Saturday at 30m  minute frequency.
TEMPORARY VARIATION - COVID 19
SERVICE RETURNING TO PRE COVID LEVELS"
18/02/21,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,4,"2 hourly. Mon - Sat

Covid 19"
21/05/10,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,"Sunday 60 mins

No service operates Christmas Day or New Years Day

"
02/03/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,11,Mon - Sat infrequent timetable. No service Sunday.
28/10/10,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,4,"Mon - Fri only, four journeys per day"
14/11/08,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,6,"This service will not operate on 25,26 December & 1,2 January and on similar dates in subsequent years"
26/03/14,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,41,Daily.  Hourly frequency or less
21/08/13,Glasgow City Council,WESTERN BUSES LIMITED,Yes,Standard International,1,Monday to Sunday hourly evening service Bargeddie to Buchanan Bus Station & Sunday daytime half hourly Bargeddie & Baillieston local service.
04/06/07,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,0,"Monday to Friday, Saturday and Sunday services, varied frequency.
No service 25 & 26 Dec, 1 & 2 Jan. curtailed service 24 & 31 Dec."
09/10/03,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,4,"This service will not operate 
25,26 Dec & 1,2 Jan and on similar dates in subsequent years"
14/11/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,17,"Monday to Saturday, mainly 30 minute frequency with short workings.  
Sunday, mainly hourly with short workings.
No service 25 December 
Curtailed service 26 December & 1,2 January
Holiday service Queen's Birthday, Gla"
10/11/14,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,5,Daily
03/07/19,The City of Edinburgh Council,EAST COAST BUSES LIMITED,Yes,Standard National,6,Daily
19/11/21,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,5,"Monday to Saturday
service reintroduced"
10/10/13,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,21,Daily
24/10/11,Highland Council,D & E COACHES LTD,No,Standard National,1,school days only
19/11/09,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,7,"Monday to Sunday

Curtailed service 25th 26th Dec & 1st 2nd Jan"
06/08/20,Northumberland County Council,BORDERS BUSES LTD,Yes,Standard National,9,"Service varied due to Covid 19 

Service Prior Was: Daily"
23/06/21,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,38,
10/01/14,Moray Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,4,Mon - Sat differs between hourly and two hourly. No service Sun.
21/04/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,9,"Monday to Saturday.  Mainly hourly frequency. No service 25/26 Dec & 1/2 Jan Sat service on days between. Curtailed service 31 Dec. No service on Mondays at Easter, first & last in May, Glasgow Fair & Autumn holiday."
29/03/13,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,Service transferred from PM870/37
22/04/22,East Lothian Council,EAST COAST BUSES LIMITED,No,Standard National,23,
07/11/06,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,1,
14/04/09,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,13,"Daily service, up to every 15mins"
03/02/12,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,3,Service to be known pubically as 5A.
25/03/21,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,24,Temporary Suspension of service (in response to COVID-19)
28/09/21,East Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,26,Easter Monday and May Day holidays service levels increased
21/11/14,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,Minor timetable revisions
02/03/16,Strathclyde Partnership for Transport,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,0,Sundays only
25/11/13,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,1,Mon to Sat
24/05/02,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,Monday to Saturday.  Mainly 30 minute frequency with short workings.  Sunday.  Mainly hourly with short workings
03/10/03,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,4,"No service: 25/26 Dec & 1/2 Jan. 
Saturday service: 27/30/31 Dec & 3 jan."
22/04/14,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,15,"Eastbound trips serving Carlingwark Street, Castle Douglas altered to serve new stop on King Street (680000046503) instead."
23/03/20,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,4,"Monday to Saturday

Timetable varied due to Covid 19"
29/10/03,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,"25,26 Dec & 1 Jan"
01/10/10,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,6,"Approximately 2 hourly Monday to Friday, 4 return journeys Saturday, No Sunday Service."
22/06/18,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,14,"Daily
Easter Friday-Saturday Service. Easter Monday-Saturday Service.  May Day Monday-Saturday Service. 24 December-Normal Saturday Service with early finishes at approx 22:00.  25 & 26 December - No Service.  Weekdays between 27 December and 30 December"
